# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1717449141450000000,1717449181332000000,37106
VFS.fileByIdCache.hits,1717449141450000000,1717449181332000000,32
VFS.fileByIdCache.misses,1717449141450000000,1717449181332000000,127
VFS.invertedFileNameIndex.requests,1717449141450000000,1717449181332000000,1
Indexes.allKeys.lookupDurationAvgMs,1717449141450000000,1717449181332000000,3.5
Indexes.stubs.lookups,1717449141450000000,1717449181332000000,1014.0
Indexes.allKeys.lookupDurationMaxMs,1717449141450000000,1717449181332000000,6.0
Indexes.entries.lookupDuration90PMs,1717449141450000000,1717449181332000000,12.0
Indexes.allKeys.lookupDuration90PMs,1717449141450000000,1717449181332000000,6.0
Indexes.entries.lookupDurationAvgMs,1717449141450000000,1717449181332000000,3.4166666666666665
Indexes.stubs.lookupDurationMaxMs,1717449141450000000,1717449181332000000,15.0
Indexes.stubs.lookupDuration90PMs,1717449141450000000,1717449181332000000,0.0
Indexes.entries.lookups,1717449141450000000,1717449181332000000,12.0
Indexes.stubs.lookupDurationAvgMs,1717449141450000000,1717449181332000000,0.13708086785009863
Indexes.entries.lookupDurationMaxMs,1717449141450000000,1717449181332000000,14.0
Indexes.allKeys.lookups,1717449141450000000,1717449181332000000,2.0
NonBlockingReadAction.finalizedExecutionTimeUs,1717449141450000000,1717449181332000000,11955868
NonBlockingReadAction.finalizedExecutionsCount,1717449141450000000,1717449181332000000,103
NonBlockingReadAction.failedExecutionsCount,1717449141450000000,1717449181332000000,4
NonBlockingReadAction.failedExecutionTimeUs,1717449141450000000,1717449181332000000,813326
AWTEventQueue.dispatchTimeTotalNS,1717449141450000000,1717449181332000000,6764882170
JVM.totalCpuTimeMs,1717449141450000000,1717449181332000000,127830
JVM.GC.collectionTimesMs,1717449141450000000,1717449181332000000,630
JVM.newThreadsCount,1717449141450000000,1717449181332000000,218
JVM.threadCount,1717449141450000000,1717449181332000000,138
JVM.maxHeapBytes,1717449141450000000,1717449181332000000,13128171520
JVM.maxThreadCount,1717449141450000000,1717449181332000000,151
JVM.GC.collections,1717449141450000000,1717449181332000000,36
OS.loadAverage,1717449141450000000,1717449181332000000,3.56
JVM.totalDirectByteBuffersBytes,1717449141450000000,1717449181332000000,47798244
JVM.usedNativeBytes,1717449141450000000,1717449181332000000,363394416
JVM.totalBytesAllocated,1717449141450000000,1717449181332000000,3178367792
JVM.usedHeapBytes,1717449141450000000,1717449181332000000,551932960
compiler.ArtifactManagerBridge.findArtifact.ms,1717449141450000000,1717449181332000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1717449141450000000,1717449181332000000,0
